unique_spon_names,normed_spon_names
"Tongji hospital, Tongji medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Tongji Medical College,Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital,Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Medical College, HUST","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongren Hospital, Shanghai Jiao Tong University School of Medicine","Tongren Hospital, Shanghai Jiao Tong University School of Medicine"
U.S. Army Medical Research and Development Command,U.S. Army Medical Research and Development Command
Union Hospital affiliated to Tongji Medical College of Huazhong University of Science and Technology,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Union Hospital Affiliated to Tongji Medical College of Huazhong University of science and technology,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Union hospital of Tongji Medical College, Huazhong University of Science and Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Union Hospital, Tongji Medical College, Huazhong University of Science & Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
University Hospital Southampton NHS Foundation Trust,University Hospital Southampton NHS Foundation Trust
"University Hospital, Akershus","University Hospital, Akershus"
"University Hospital, Clermont-Ferrand","University Hospital, Clermont-Ferrand"
University of Macau,University of Macau
University of Milan,University of Milan
University of Minnesota,University of Minnesota
University of Oxford,University of Oxford
Uppsala University,Uppsala University
West China Hospital,West China Hospital
West China Hospital of Sichuan University,West China Hospital of Sichuan University
"West China Hospital, Sichuan University",West China Hospital of Sichuan University
"West China Second Hospital, Sichuan University","West China Second Hospital, Sichuan University"
"West China Second University Hospital, Sichuan University","West China Second Hospital, Sichuan University"
Wuhan 1st Hospital,Wuhan First Hospital
Wuhan 3rd Hospital,Wuhan Third Hospital
"Wuhan Children's Hospital, Tongji Medical College, Huazhong University of Science & Technology","Wuhan Children's Hospital, Tongji Medical College, Huazhong University of Science & Technology"
Wuhan Hospital of Integrated Traditional Chinese and Western Medicine,Wuhan Hospital of Integrated Traditional Chinese and Western Medicine
Wuhan Jin Yin-tan hospital,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital)
Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital)
Wuhan Pulmonary Hosptial,Wuhan Pulmonary Hosptial
Wuhan Red Cross Hospital,Wuhan Red Cross Hospital
Wuhan Third Hospital,Wuhan Third Hospital
"Wuhan Union Hospital, China","Wuhan Union Hospital, China"
Wuxi Fifth People's Hospital,Wuxi Fifth People's Hospital
Wuxi People's Hospital,Wuxi People's Hospital
Xi'an Chest Hospital,Xi'an Chest Hospital
"Xiamen Medical College,Shijiazhuang Medical College","Xiamen Medical College,Shijiazhuang Medical College"
Xiamen University,Xiamen University
Xiangya Hospital of Central South University,Xiangya Hospital of Central South University
"Xiangya Hospital, Central South University (West Campus of Wuhan Union Hospital)",Xiangya Hospital of Central South University
Xiangyang 1st People's Hospital,Xiangyang First People's Hospital
Xiangyang 1st people's Hospital,Xiangyang First People's Hospital
"Xiangyang Central Hospital, Affiliated Hospital of Hubei University of Arts and Sciences","Xiangyang Central Hospital, Affiliated Hospital of Hubei University of Arts and Sciences"
Xiangyang First People's Hospital,Xiangyang First People's Hospital
Xianning Central Hospital,Xianning Central Hospital
Xijing Hospital,Xijing Hospital
Xinxiang medical university,Xinxiang medical university
Xinyang Central Hospital,Xinyang Central Hospital
"Xiyuan Hospital, Chinese Academy of Traditional Chinese Medicine","Xiyuan Hospital, Chinese Academy of Traditional Chinese Medicine"
"Yueyang Hospital of Integrated Traditional Chinese and Western Medicine, Shanghai University of Traditional Chinese Medicine",Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine
"Yueyang Hospital of Integrated Traditional Chinese and Western Medicine, Shanghai University of Traditional Chinese Medicine,",Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine
Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine,Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine
Zhejiang Chinese Medical University,Zhejiang Chinese Medical University
Zhejiang Hospital,Zhejiang Hospital
Zhejiang Provincial People's Hospital,Zhejiang Provincial People's Hospital
Zhengzhou People's Hospital,Zhengzhou People's Hospital
Zhenhua Zen,Zhenhua Zen
ZhiYong Peng,ZhiYong Peng
Zhong Wang,Zhong Wang
Zhongnan Hospital of Wuhan University,Zhongnan Hospital of Wuhan University
Zhongshan Hospital Affiliated to Xiamen University,Zhongshan Hospital Affiliated to Xiamen University
Zhongshan Hospital Fudan University,"Zhongshan Hospital, Fudan University"
"Zhongshan Hospital, Fudan University","Zhongshan Hospital, Fudan University"
